dc:identifier,dc:modified,ayto:type,ayto:latitude,ayto:longitude,ayto:temperature,ayto:battery,ayto:light,ayto:noise,uri
10003,2021-06-30T20:44:24Z,WeatherObserved,43.47191,-3.80033,21.67,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10003.csv
10008,2021-06-30T20:44:15Z,WeatherObserved,43.47207,-3.80021,20.38,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10008.csv
10002,2021-06-30T20:44:04Z,WeatherObserved,43.47181,-3.80033,20.9,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10002.csv
10004,2021-06-30T20:43:54Z,WeatherObserved,43.47188,-3.80042,20.77,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10004.csv
10010,2021-06-30T20:43:44Z,WeatherObserved,43.47194,-3.80017,22.0,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10010.csv
10012,2021-06-30T20:43:27Z,WeatherObserved,43.472,-3.80008,22.06,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10012.csv
85,2021-03-22T13:31:26Z,WeatherObserved,43.46147,-3.80653,30.32,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/85.csv
55,2021-03-22T13:30:08Z,WeatherObserved,43.46104,-3.80693,14.25,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/55.csv
72,2021-03-22T13:28:39Z,WeatherObserved,43.46104,-3.80649,12.38,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/72.csv
160,2021-03-22T13:28:21Z,WeatherObserved,43.46176,-3.80509,15.29,,2.34,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/160.csv
73,2021-03-22T13:27:51Z,WeatherObserved,43.46145,-3.80681,13.22,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/73.csv
68,2021-03-22T13:27:39Z,WeatherObserved,43.46167,-3.80591,17.03,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/68.csv
170,2021-03-22T04:56:20Z,WeatherObserved,43.46225,-3.8,13.93,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/170.csv
51,2021-01-17T12:04:22Z,WeatherObserved,43.47092,-3.80174,12.7,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/51.csv
167,2021-01-14T05:53:48Z,WeatherObserved,43.46207,-3.80189,6.77,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/167.csv
2565,2021-01-04T09:09:00Z,WeatherObserved,43.46347,-3.79814,31.22,,0.54,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/2565.csv
3248,2020-12-05T04:40:39Z,WeatherObserved,43.46727,-3.81165,0.0,,,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/3248.csv
312,2020-12-05T04:38:57Z,WeatherObserved,43.46298,-3.80439,7.22,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/312.csv
310,2020-12-05T04:36:58Z,WeatherObserved,43.46305,-3.80391,7.74,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/310.csv
10020,2020-12-03T22:48:01Z,WeatherObserved,43.46016,-3.83115,6.06,,0.0,,http://datos.santander.es/api/datos/sensores_smart_env_monitoring/10020.csv
